what,kind,bundleId,bundleVersion,description,time
os,sysinfo,,,"win32",1480072907410
arch,sysinfo,,,"x86",1480072907410
ws,sysinfo,,,"win32",1480072907410
locale,sysinfo,,,"zh_CN",1480072907410
processors,sysinfo,,,"4",1480072907410
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1480072907410
java.runtime.version,sysinfo,,,"1.7.0_03-b05",1480072907410
java.specification.name,sysinfo,,,"Java Platform API Specification",1480072907410
java.specification.vendor,sysinfo,,,"Oracle Corporation",1480072907410
java.specification.version,sysinfo,,,"1.7",1480072907410
java.vendor,sysinfo,,,"Oracle Corporation",1480072907410
java.version,sysinfo,,,"1.7.0_03",1480072907410
java.vm.info,sysinfo,,,"mixed mode",1480072907410
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1480072907410
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1480072907410
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1480072907410
java.vm.specification.version,sysinfo,,,"1.7",1480072907410
java.vm.vendor,sysinfo,,,"Oracle Corporation",1480072907410
java.vm.version,sysinfo,,,"22.1-b02",1480072907410
no handler,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1480072907568
no handler,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1480072907569
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1480072908889
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1480072908902
closed,view,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.internal.introview",1480072908946
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1480072912353
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1480072916413
started,bundle,org.eclipse.jdt.launching,3.5.200.v20110105_r362,"org.eclipse.jdt.launching",1480072916427
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.102.v201008182136,"org.eclipse.jst.common.project.facet.core",1480072940834
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.201.v201011231540,"org.eclipse.jst.ws.jaxrs.core",1480072940836
started,bundle,org.eclipse.jst.servlet.ui,1.1.404.v201101270100,"org.eclipse.jst.servlet.ui",1480072940939
started,bundle,org.eclipse.wst.jsdt.core,1.1.4.v201102102045,"org.eclipse.wst.jsdt.core",1480072941024
started,bundle,org.tigris.subversion.clientadapter.javahl,1.6.9.3,"org.tigris.subversion.clientadapter.javahl",1480072941033
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.6.10,"org.tigris.subversion.clientadapter.svnkit",1480072941034
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1480072941097
started,bundle,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui",1480072941097
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1480072941126
started,bundle,org.eclipse.wst.common.modulecore,1.2.5.v201101270100,"org.eclipse.wst.common.modulecore",1480072941129
started,bundle,org.eclipse.jst.j2ee.core,1.2.4.v201102101900,"org.eclipse.jst.j2ee.core",1480072941133
started,bundle,org.eclipse.jem,2.0.400.v201005110200,"org.eclipse.jem",1480072941141
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1480072941152
started,bundle,org.eclipse.wst.xml.core,1.1.503.v201102102045,"org.eclipse.wst.xml.core",1480072941154
started,bundle,org.eclipse.wst.validation,1.2.201.v201101270100,"org.eclipse.wst.validation",1480072941172
